The Flash,2023,7.3,56,51309,PG-13,Action Adventure Fantasy,144 min,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
Spider-Man: Across the Spider-Verse,2023,9,86,137965,PG,Animation Action Adventure,140 min,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Transformers: Rise of the Beasts,2023,6.6,42,24592,PG-13,Action Adventure Sci-Fi,127 min,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
The Little Mermaid,2023,7.2,59,85490,PG,Adventure Family Fantasy,135 min,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
Extraction II,2023,7.2,57,39077,R,Action Thriller,122 min,"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission."
Fast X,2023,6,56,63407,PG-13,Action Adventure Crime,141 min,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
Asteroid City,2023,7,75,4947,PG-13,Comedy Drama Romance,104 min,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a stargazing event, only to have his world view disrupted forever."
John Wick: Chapter 4,2023,7.9,78,215004,R,Action Crime Thriller,169 min,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
Flamin' Hot,2023,6.9,58,6191,PG-13,Biography Drama History,99 min,"This is the inspiring \true\"" story of Richard Monta̱ez who"
Elemental,2023,7.1,59,5787,PG,Animation Adventure Comedy,109 min,"Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together."
Guardians of the Galaxy Vol. 3,2023,8.2,64,174222,PG-13,Action Adventure Comedy,150 min,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
The Super Mario Bros. Movie,2023,7.1,46,146537,PG,Animation Adventure Comedy,92 min,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess."
Beau Is Afraid,2023,7,63,23850,R,Comedy Drama Horror,179 min,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home."
The Covenant,2023,7.5,63,59137,R,Action Thriller War,123 min,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain."
Dungeons & Dragons: Honor Among Thieves,2023,7.3,72,134536,PG-13,Action Adventure Comedy,134 min,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
The Boogeyman,2023,6.1,55,8817,PG-13,Horror Mystery Thriller,98 min,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late."
Renfield,2023,6.4,53,49405,R,Comedy Fantasy Horror,93 min,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them."
Creed III,2023,6.8,73,68158,PG-13,Drama Sport,116 min,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight."
Air,2023,7.5,73,109572,R,Drama Sport,111 min,"Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan."
Kandahar,2023,6,52,5907,R,Action Thriller,119 min,A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.
The Flash,2023,7.3,56,51309,PG-13,Action Adventure Fantasy,144 min,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
Spider-Man: Across the Spider-Verse,2023,9,86,137965,PG,Animation Action Adventure,140 min,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Transformers: Rise of the Beasts,2023,6.6,42,24592,PG-13,Action Adventure Sci-Fi,127 min,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
The Little Mermaid,2023,7.2,59,85490,PG,Adventure Family Fantasy,135 min,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
Extraction II,2023,7.2,57,39077,R,Action Thriller,122 min,"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission."
Fast X,2023,6,56,63407,PG-13,Action Adventure Crime,141 min,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
